106
298815	298891	2	0	0
586866	586989	1	1	1
630433	630509	2	2	2
722095	723630	1	3	3
723695	723771	1	4	4
723800	723875	1	5	5
724102	726992	1	6	6
727135	727254	1	7	7
785497	785569	1	8	8
797720	797793	2	9	9
901519	901871	2	10	10
912790	912860	1	11	11
971857	971971	1	12	12
991259	991349	1	13	13
991467	991543	1	14	14
991655	991731	1	15	15
1007726	1007802	2	16	16
1060355	1060430	1	17	17
1096866	1096955	1	18	18
1117531	1117608	1	19	19
1205030	1205329	2	20	20
1436490	1436617	1	21	21
1668839	1669798	1	22	22
1928665	1928885	2	23	23
1947319	1947395	1	24	24
1947447	1947522	1	25	25
1947577	1947661	1	26	26
1947728	1947803	1	27	27
1959082	1959158	1	28	28
2905964	2906050	2	29	29
2918602	2918675	2	30	30
2923221	2923296	2	31	31
2947582	2947671	2	32	32
3099305	3099381	2	33	33
3106918	3106993	2	34	34
3133448	3133524	2	35	35
3173598	3173673	2	36	36
3173758	3173833	2	37	37
3173836	3173911	2	38	38
3206407	3206496	1	39	39
3299021	3299268	1	40	40
3318662	3318858	1	41	41
3395189	3395265	1	42	42
3475456	3475532	2	43	43
3475647	3475723	2	44	44
3475740	3475815	2	45	45
3514722	3514797	2	46	46
3514844	3514919	2	47	47
3515013	3515088	2	48	48
3515137	3515212	2	49	49
3524011	3524086	1	50	50
3650721	3650797	2	51	51
3650814	3650889	2	52	52
3703021	3703155	2	53	53
3705308	3705520	2	54	54
3778033	3778132	2	55	55
3778653	3778729	2	56	56
4057542	4057657	2	57	57
4281664	4281750	1	58	58
4780767	4780832	2	59	59
4781785	4781977	1	60	60
4784183	4784258	2	61	61
4785592	4785667	2	62	62
4785687	4785760	2	63	63
4785787	4785871	2	64	64
4788573	4788692	2	65	65
4788835	4791723	2	66	66
4791950	4792025	2	67	67
4792054	4792130	2	68	68
4792195	4793730	2	69	69
4939193	4939276	2	70	70
4956327	4956535	1	71	71
4985781	4985842	2	72	72
5068931	5069006	2	73	73
5086924	5086999	2	74	74
5087010	5087086	2	75	75
5087096	5087171	2	76	76
5131081	5131154	1	77	77
5238276	5238350	1	78	78
5242025	5242101	1	79	79
5264099	5264218	2	80	80
5264361	5267251	2	81	81
5267478	5267553	2	82	82
5267582	5267658	2	83	83
5267723	5269258	2	84	84
5283959	5284109	1	85	85
5284171	5284318	1	86	86
5308432	5308492	1	87	87
5308586	5308992	1	88	88
5308742	5308963	2	89	89
5332086	5332162	2	90	90
5332253	5332338	2	91	91
5344949	5345059	2	92	92
5387765	5387856	2	93	93
5541613	5541699	1	94	94
5541829	5541915	1	95	95
5798559	5798634	1	96	96
5809969	5810044	1	97	97
5835081	5835479	2	98	98
5884319	5884501	1	99	99
5986119	5986169	1	100	100
6039583	6039702	2	101	101
6039845	6042735	2	102	102
6042962	6043037	2	103	103
6043066	6043142	2	104	104
6043207	6044742	2	105	105
