106
PA0263.1	PA0263.1	MissingGeneType
PA0527.1	PA0527.1	MissingGeneType
PA0574.1	PA0574.1	MissingGeneType
PA0668.1	PA0668.1	MissingGeneType
PA0668.2	PA0668.2	MissingGeneType
PA0668.3	PA0668.3	MissingGeneType
PA0668.4	PA0668.4	MissingGeneType
PA0668.5	PA0668.5	MissingGeneType
PA0714.1	PA0714.1	MissingGeneType
PA0729.1	PA0729.1	MissingGeneType
PA0826.2	PA0826.2	MissingGeneType
PA0836.1	PA0836.1	MissingGeneType
PA0887.1	PA0887.1	MissingGeneType
PA0905.1	PA0905.1	MissingGeneType
PA0905.2	PA0905.2	MissingGeneType
PA0905.3	PA0905.3	MissingGeneType
PA0922.1	PA0922.1	MissingGeneType
PA0976.1	PA0976.1	MissingGeneType
PA1013.1	PA1013.1	MissingGeneType
PA1030.1	PA1030.1	MissingGeneType
PA1112.1	PA1112.1	MissingGeneType
PA1324.1	PA1324.1	MissingGeneType
PA1530.1	PA1530.1	MissingGeneType
PA1781.1	PA1781.1	MissingGeneType
PA1796.1	PA1796.1	MissingGeneType
PA1796.2	PA1796.2	MissingGeneType
PA1796.3	PA1796.3	MissingGeneType
PA1796.4	PA1796.4	MissingGeneType
PA1804.1	PA1804.1	MissingGeneType
PA2570.1	PA2570.1	MissingGeneType
PA2581.1	PA2581.1	MissingGeneType
PA2583.1	PA2583.1	MissingGeneType
PA2603.1	PA2603.1	MissingGeneType
PA2736.1	PA2736.1	MissingGeneType
PA2744.1	PA2744.1	MissingGeneType
PA2775.1	PA2775.1	MissingGeneType
PA2819.1	PA2819.1	MissingGeneType
PA2819.2	PA2819.2	MissingGeneType
PA2819.3	PA2819.3	MissingGeneType
PA2852.1	PA2852.1	MissingGeneType
PA2942.1	PA2942.1	MissingGeneType
PA2958.1	PA2958.1	MissingGeneType
PA3031.1	PA3031.1	MissingGeneType
PA3094.1	PA3094.1	MissingGeneType
PA3094.2	PA3094.2	MissingGeneType
PA3094.3	PA3094.3	MissingGeneType
PA3133.1	PA3133.1	MissingGeneType
PA3133.2	PA3133.2	MissingGeneType
PA3133.3	PA3133.3	MissingGeneType
PA3133.4	PA3133.4	MissingGeneType
PA3139.1	PA3139.1	MissingGeneType
PA3262.1	PA3262.1	MissingGeneType
PA3262.2	PA3262.2	MissingGeneType
PA3304.1	PA3304.1	MissingGeneType
PA3305.1	PA3305.1	MissingGeneType
PA3366.1	PA3366.1	MissingGeneType
PA3368.1	PA3368.1	MissingGeneType
PA3621.1	PA3621.1	MissingGeneType
PA3824.1	PA3824.1	MissingGeneType
PA4270.1	PA4270.1	MissingGeneType
PA4272.1	PA4272.1	MissingGeneType
PA4276.1	PA4276.1	MissingGeneType
PA4277.1	PA4277.1	MissingGeneType
PA4277.2	PA4277.2	MissingGeneType
PA4277.3	PA4277.3	MissingGeneType
PA4280.1	PA4280.1	MissingGeneType
PA4280.2	PA4280.2	MissingGeneType
PA4280.3	PA4280.3	MissingGeneType
PA4280.4	PA4280.4	MissingGeneType
PA4280.5	PA4280.5	MissingGeneType
PA4406.1	PA4406.1	MissingGeneType
PA4421.1	PA4421.1	MissingGeneType
PA4451.1	PA4451.1	MissingGeneType
PA4524.1	PA4524.1	MissingGeneType
PA4541.1	PA4541.1	MissingGeneType
PA4541.2	PA4541.2	MissingGeneType
PA4541.3	PA4541.3	MissingGeneType
PA4581.1	PA4581.1	MissingGeneType
PA4669.1	PA4669.1	MissingGeneType
PA4673.1	PA4673.1	MissingGeneType
PA4690.1	PA4690.1	MissingGeneType
PA4690.2	PA4690.2	MissingGeneType
PA4690.3	PA4690.3	MissingGeneType
PA4690.4	PA4690.4	MissingGeneType
PA4690.5	PA4690.5	MissingGeneType
PA4704.1	PA4704.1	MissingGeneType
PA4704.2	PA4704.2	MissingGeneType
PA4726.1	PA4726.1	MissingGeneType
PA4726.11	PA4726.11	MissingGeneType
PA4726.2	PA4726.2	MissingGeneType
PA4746.1	PA4746.1	MissingGeneType
PA4746.2	PA4746.2	MissingGeneType
PA4758.1	PA4758.1	MissingGeneType
PA4802.1	PA4802.1	MissingGeneType
PA4937.1	PA4937.1	MissingGeneType
PA4937.2	PA4937.2	MissingGeneType
PA5149.1	PA5149.1	MissingGeneType
PA5160.1	PA5160.1	MissingGeneType
PA5181.1	PA5181.1	MissingGeneType
PA5227.1	PA5227.1	MissingGeneType
PA5316.1	PA5316.1	MissingGeneType
PA5369.1	PA5369.1	MissingGeneType
PA5369.2	PA5369.2	MissingGeneType
PA5369.3	PA5369.3	MissingGeneType
PA5369.4	PA5369.4	MissingGeneType
PA5369.5	PA5369.5	MissingGeneType
