106
unassigned_transcript_265	298815	298891	298891	2	1	0	0
unassigned_transcript_531	586866	586989	298891	1	1	1	1
unassigned_transcript_579	630433	630509	586989	2	1	2	2
unassigned_transcript_672	722095	723630	630509	1	1	3	3
unassigned_transcript_673	723695	723771	723630	1	1	4	4
unassigned_transcript_674	723800	723875	723771	1	1	5	5
unassigned_transcript_675	724102	726992	723875	1	1	6	6
unassigned_transcript_676	727135	727254	726992	1	1	7	7
unassigned_transcript_724	785497	785569	727254	1	1	8	8
unassigned_transcript_739	797720	797793	785569	2	1	9	9
unassigned_transcript_837	901519	901871	797793	2	1	10	10
unassigned_transcript_848	912790	912860	901871	1	1	11	11
unassigned_transcript_900	971857	971971	912860	1	1	12	12
unassigned_transcript_919	991259	991349	971971	1	1	13	13
unassigned_transcript_920	991467	991543	991349	1	1	14	14
unassigned_transcript_921	991655	991731	991543	1	1	15	15
unassigned_transcript_939	1007726	1007802	991731	2	1	16	16
unassigned_transcript_995	1060355	1060430	1007802	1	1	17	17
unassigned_transcript_1030	1096866	1096955	1060430	1	1	18	18
unassigned_transcript_1048	1117531	1117608	1096955	1	1	19	19
unassigned_transcript_1133	1205030	1205329	1117608	2	1	20	20
unassigned_transcript_1345	1436490	1436617	1205329	1	1	21	21
unassigned_transcript_1553	1668839	1669798	1436617	1	1	22	22
unassigned_transcript_1807	1928665	1928885	1669798	2	1	23	23
unassigned_transcript_1823	1947319	1947395	1928885	1	1	24	24
unassigned_transcript_1824	1947447	1947522	1947395	1	1	25	25
unassigned_transcript_1825	1947577	1947661	1947522	1	1	26	26
unassigned_transcript_1826	1947728	1947803	1947661	1	1	27	27
unassigned_transcript_1836	1959082	1959158	1947803	1	1	28	28
unassigned_transcript_2598	2905964	2906050	1959158	2	1	29	29
unassigned_transcript_2610	2918602	2918675	2906050	2	1	30	30
unassigned_transcript_2613	2923221	2923296	2918675	2	1	31	31
unassigned_transcript_2634	2947582	2947671	2923296	2	1	32	32
unassigned_transcript_2764	3099305	3099381	2947671	2	1	33	33
unassigned_transcript_2773	3106918	3106993	3099381	2	1	34	34
unassigned_transcript_2812	3133448	3133524	3106993	2	1	35	35
unassigned_transcript_2855	3173598	3173673	3133524	2	1	36	36
unassigned_transcript_2856	3173758	3173833	3173673	2	1	37	37
unassigned_transcript_2857	3173836	3173911	3173833	2	1	38	38
unassigned_transcript_2891	3206407	3206496	3173911	1	1	39	39
unassigned_transcript_2982	3299021	3299268	3206496	1	1	40	40
unassigned_transcript_2999	3318662	3318858	3299268	1	1	41	41
unassigned_transcript_3073	3395189	3395265	3318858	1	1	42	42
unassigned_transcript_3137	3475456	3475532	3395265	2	1	43	43
unassigned_transcript_3138	3475647	3475723	3475532	2	1	44	44
unassigned_transcript_3139	3475740	3475815	3475723	2	1	45	45
unassigned_transcript_3179	3514722	3514797	3475815	2	1	46	46
unassigned_transcript_3180	3514844	3514919	3514797	2	1	47	47
unassigned_transcript_3181	3515013	3515088	3514919	2	1	48	48
unassigned_transcript_3182	3515137	3515212	3515088	2	1	49	49
unassigned_transcript_3189	3524011	3524086	3515212	1	1	50	50
unassigned_transcript_3310	3650721	3650797	3524086	2	1	51	51
unassigned_transcript_3311	3650814	3650889	3650797	2	1	52	52
unassigned_transcript_3355	3703021	3703155	3650889	2	1	53	53
unassigned_transcript_3357	3705308	3705520	3703155	2	1	54	54
unassigned_transcript_3419	3778033	3778132	3705520	2	1	55	55
unassigned_transcript_3421	3778653	3778729	3778132	2	1	56	56
unassigned_transcript_3678	4057542	4057657	3778729	2	1	57	57
unassigned_transcript_3883	4281664	4281750	4057657	1	1	58	58
unassigned_transcript_4330	4780767	4780832	4281750	2	1	59	59
unassigned_transcript_4333	4781785	4781977	4780832	1	1	60	60
unassigned_transcript_4338	4784183	4784258	4781977	2	1	61	61
unassigned_transcript_4340	4785592	4785667	4784258	2	1	62	62
unassigned_transcript_4341	4785687	4785760	4785667	2	1	63	63
unassigned_transcript_4342	4785787	4785871	4785760	2	1	64	64
unassigned_transcript_4346	4788573	4788692	4785871	2	1	65	65
unassigned_transcript_4347	4788835	4791723	4788692	2	1	66	66
unassigned_transcript_4348	4791950	4792025	4791723	2	1	67	67
unassigned_transcript_4349	4792054	4792130	4792025	2	1	68	68
unassigned_transcript_4350	4792195	4793730	4792130	2	1	69	69
unassigned_transcript_4478	4939193	4939276	4793730	2	1	70	70
unassigned_transcript_4494	4956327	4956535	4939276	1	1	71	71
unassigned_transcript_4525	4985781	4985842	4956535	2	1	72	72
unassigned_transcript_4599	5068931	5069006	4985842	2	1	73	73
unassigned_transcript_4616	5086924	5086999	5069006	2	1	74	74
unassigned_transcript_4617	5087010	5087086	5086999	2	1	75	75
unassigned_transcript_4618	5087096	5087171	5087086	2	1	76	76
unassigned_transcript_4659	5131081	5131154	5087171	1	1	77	77
unassigned_transcript_4749	5238276	5238350	5131154	1	1	78	78
unassigned_transcript_4754	5242025	5242101	5238350	1	1	79	79
unassigned_transcript_4773	5264099	5264218	5242101	2	1	80	80
unassigned_transcript_4774	5264361	5267251	5264218	2	1	81	81
unassigned_transcript_4775	5267478	5267553	5267251	2	1	82	82
unassigned_transcript_4776	5267582	5267658	5267553	2	1	83	83
unassigned_transcript_4777	5267723	5269258	5267658	2	1	84	84
unassigned_transcript_4792	5283959	5284109	5269258	1	1	85	85
unassigned_transcript_4793	5284171	5284318	5284109	1	1	86	86
unassigned_transcript_4817	5308432	5308492	5284318	1	1	87	87
unassigned_transcript_4818	5308586	5308992	5308492	1	1	88	88
unassigned_transcript_4819	5308742	5308963	5308992	2	1	89	89
unassigned_transcript_4840	5332086	5332162	5308992	2	1	90	90
unassigned_transcript_4841	5332253	5332338	5332162	2	1	91	91
unassigned_transcript_4854	5344949	5345059	5332338	2	1	92	92
unassigned_transcript_4899	5387765	5387856	5345059	2	1	93	93
